Queensway Transit Exchange,Bernard and Glenmore,Orchard Park Mall,Enterprise and Hwy. 33,Rutland Exchange,Fitzpatrick and Findlay
--,--,--,--,05:20 AM,05:30 AM
--,--,--,--,05:40 AM,05:50 AM
--,--,--,--,06:10 AM,06:20 AM
06:06 AM,06:12 AM,06:18 AM,06:23 AM,06:30 AM,06:40 AM
06:28 AM,06:34 AM,06:40 AM,06:45 AM,06:52 AM,07:02 AM
06:48 AM,06:54 AM,07:00 AM,07:05 AM,07:12 AM,07:22 AM
07:08 AM,07:14 AM,07:22 AM,07:27 AM,07:34 AM,07:44 AM
07:28 AM,07:35 AM,07:43 AM,07:48 AM,07:55 AM,08:05 AM
07:48 AM,07:55 AM,08:03 AM,08:08 AM,08:15 AM,08:25 AM
08:08 AM,08:15 AM,08:23 AM,08:28 AM,08:36 AM,08:47 AM
08:28 AM,08:35 AM,08:43 AM,08:48 AM,08:56 AM,09:07 AM
08:48 AM,08:55 AM,09:02 AM,09:07 AM,09:15 AM,09:26 AM
09:08 AM,09:15 AM,09:22 AM,09:27 AM,09:35 AM,09:46 AM
09:28 AM,09:36 AM,09:44 AM,09:49 AM,09:57 AM,10:08 AM
09:48 AM,09:56 AM,10:04 AM,10:09 AM,10:17 AM,10:28 AM
10:18 AM,10:26 AM,10:34 AM,10:40 AM,10:48 AM,10:59 AM
10:48 AM,10:56 AM,11:04 AM,11:10 AM,11:18 AM,11:29 AM
11:18 AM,11:26 AM,11:34 AM,11:40 AM,11:48 AM,11:59 AM
11:48 AM,11:56 AM,12:04 PM,12:10 PM,12:18 PM,12:29 PM
12:18 PM,12:26 PM,12:34 PM,12:40 PM,12:48 PM,12:59 PM
12:48 PM,12:56 PM,01:04 PM,01:10 PM,01:18 PM,01:29 PM
01:18 PM,01:26 PM,01:34 PM,01:40 PM,01:48 PM,01:59 PM
01:48 PM,01:56 PM,02:04 PM,02:10 PM,02:18 PM,02:29 PM
02:18 PM,02:26 PM,02:35 PM,02:41 PM,02:49 PM,03:00 PM
02:35 PM,02:43 PM,02:52 PM,02:58 PM,03:07 PM,03:19 PM
02:52 PM,03:00 PM,03:09 PM,03:16 PM,03:25 PM,03:38 PM
03:09 PM,03:17 PM,03:27 PM,03:34 PM,03:43 PM,03:54 PM
03:26 PM,03:34 PM,03:44 PM,03:51 PM,04:00 PM,04:11 PM
03:43 PM,03:51 PM,04:01 PM,04:08 PM,04:17 PM,04:28 PM
04:00 PM,04:08 PM,04:18 PM,04:25 PM,04:34 PM,04:45 PM
04:17 PM,04:25 PM,04:35 PM,04:42 PM,04:51 PM,05:02 PM
04:35 PM,04:43 PM,04:53 PM,05:00 PM,05:08 PM,05:19 PM
04:53 PM,05:01 PM,05:11 PM,05:17 PM,05:25 PM,05:36 PM
05:11 PM,05:19 PM,05:28 PM,05:34 PM,05:42 PM,05:53 PM
05:30 PM,05:38 PM,05:46 PM,05:51 PM,05:59 PM,06:10 PM
05:50 PM,05:58 PM,06:06 PM,06:11 PM,06:19 PM,06:30 PM
06:30 PM,06:36 PM,06:44 PM,06:49 PM,06:57 PM,07:07 PM
07:10 PM,07:16 PM,07:23 PM,07:28 PM,07:36 PM,07:46 PM
07:50 PM,07:56 PM,08:03 PM,08:08 PM,08:16 PM,08:26 PM
08:30 PM,08:36 PM,08:43 PM,08:48 PM,08:56 PM,09:05 PM
09:10 PM,09:16 PM,09:22 PM,09:26 PM,09:33 PM,09:42 PM
09:50 PM,09:55 PM,10:01 PM,10:05 PM,10:12 PM,10:21 PM
10:30 PM,10:35 PM,10:40 PM,10:44 PM,10:50 PM,10:59 PM
11:10 PM,11:15 PM,11:20 PM,11:24 PM,11:30 PM,11:39 PM
11:50 PM,11:55 PM,11:59 PM,12:03 AM,12:09 AM,12:17 AM
12:30 AM,12:35 AM,12:39 AM,12:43 AM,12:49 AM,12:57 AM
