Trip Notes,Okanagan College Exchange,Springfield and Gordon,Orchard Park Mall,Rutland Exchange,UBCO Transit Exchange
,05:55 AM,06:03 AM,06:10 AM,06:21 AM,06:34 AM
,06:15 AM,06:23 AM,06:30 AM,06:41 AM,06:54 AM
I,--,--,06:41 AM,06:52 AM,07:05 AM
,06:36 AM,06:45 AM,06:52 AM,07:03 AM,07:16 AM
I,--,--,07:03 AM,07:14 AM,07:28 AM
,06:56 AM,07:05 AM,07:12 AM,07:23 AM,07:38 AM
,07:08 AM,07:17 AM,07:25 AM,07:36 AM,07:51 AM
I,07:20 AM,07:29 AM,07:37 AM,07:48 AM,08:03 AM
,07:32 AM,07:41 AM,07:49 AM,08:00 AM,08:15 AM
,07:44 AM,07:53 AM,08:01 AM,08:13 AM,08:28 AM
,07:56 AM,08:05 AM,08:13 AM,08:25 AM,08:40 AM
,08:08 AM,08:17 AM,08:26 AM,08:38 AM,08:53 AM
,08:20 AM,08:29 AM,08:38 AM,08:50 AM,09:05 AM
,08:33 AM,08:42 AM,08:51 AM,09:03 AM,09:17 AM
,08:46 AM,08:55 AM,09:03 AM,09:15 AM,09:29 AM
,09:00 AM,09:09 AM,09:17 AM,09:30 AM,09:44 AM
,09:15 AM,09:24 AM,09:32 AM,09:45 AM,09:59 AM
,09:33 AM,09:42 AM,09:50 AM,10:03 AM,10:17 AM
,09:51 AM,10:00 AM,10:08 AM,10:21 AM,10:35 AM
,10:09 AM,10:18 AM,10:26 AM,10:39 AM,10:53 AM
,10:18 AM,10:27 AM,--,--,--
,10:27 AM,10:36 AM,10:44 AM,10:57 AM,11:11 AM
,10:45 AM,10:54 AM,11:02 AM,11:16 AM,11:30 AM
,11:03 AM,11:12 AM,11:20 AM,11:34 AM,11:48 AM
,11:21 AM,11:30 AM,11:38 AM,11:52 AM,12:06 PM
,11:39 AM,11:48 AM,11:56 AM,12:10 PM,12:24 PM
,11:57 AM,12:06 PM,12:14 PM,12:28 PM,12:42 PM
,12:15 PM,12:24 PM,12:32 PM,12:46 PM,01:00 PM
,12:34 PM,12:43 PM,12:51 PM,01:05 PM,01:19 PM
,--,--,01:00 PM,01:14 PM,01:28 PM
,12:52 PM,01:01 PM,01:09 PM,01:23 PM,01:37 PM
,01:10 PM,01:19 PM,01:27 PM,01:41 PM,01:55 PM
,01:28 PM,01:37 PM,01:45 PM,01:59 PM,02:13 PM
,01:46 PM,01:55 PM,02:03 PM,02:18 PM,02:32 PM
,02:00 PM,02:10 PM,02:18 PM,02:33 PM,02:47 PM
,02:14 PM,02:24 PM,02:31 PM,02:46 PM,03:00 PM
,02:28 PM,02:39 PM,02:46 PM,03:01 PM,03:17 PM
,02:42 PM,02:53 PM,03:03 PM,03:18 PM,03:34 PM
,02:56 PM,03:07 PM,03:17 PM,03:32 PM,03:48 PM
,03:10 PM,03:22 PM,03:32 PM,03:47 PM,04:03 PM
,03:24 PM,03:36 PM,03:46 PM,04:01 PM,04:17 PM
I,03:30 PM,03:42 PM,03:52 PM,04:07 PM,04:23 PM
,03:38 PM,03:50 PM,04:00 PM,04:15 PM,04:30 PM
,03:52 PM,04:04 PM,04:14 PM,04:29 PM,04:44 PM
,04:06 PM,04:18 PM,04:28 PM,04:43 PM,04:58 PM
I,04:15 PM,04:27 PM,04:36 PM,04:51 PM,05:06 PM
,04:20 PM,04:32 PM,04:41 PM,04:56 PM,05:10 PM
,04:34 PM,04:45 PM,04:54 PM,05:09 PM,05:23 PM
,04:48 PM,04:58 PM,05:07 PM,05:22 PM,05:36 PM
,05:02 PM,05:12 PM,05:21 PM,05:35 PM,05:48 PM
,05:16 PM,05:26 PM,05:34 PM,05:48 PM,06:01 PM
,05:30 PM,05:39 PM,05:47 PM,06:01 PM,06:14 PM
,05:45 PM,05:54 PM,06:02 PM,06:16 PM,06:29 PM
,06:00 PM,06:08 PM,06:15 PM,06:29 PM,06:42 PM
,06:20 PM,06:28 PM,06:35 PM,06:48 PM,07:01 PM
,06:40 PM,06:48 PM,06:55 PM,07:08 PM,07:21 PM
,07:00 PM,07:08 PM,07:15 PM,07:28 PM,07:41 PM
,07:20 PM,07:28 PM,07:35 PM,07:48 PM,08:01 PM
,07:42 PM,07:50 PM,07:57 PM,08:09 PM,08:22 PM
,08:05 PM,08:13 PM,08:20 PM,08:32 PM,08:45 PM
,08:30 PM,08:38 PM,08:45 PM,08:57 PM,09:10 PM
,08:55 PM,09:03 PM,09:10 PM,09:21 PM,09:34 PM
,09:20 PM,09:27 PM,09:34 PM,09:45 PM,09:58 PM
,09:45 PM,09:52 PM,09:59 PM,10:10 PM,10:23 PM
,10:30 PM,10:37 PM,10:43 PM,10:53 PM,11:05 PM
,11:15 PM,11:22 PM,11:28 PM,11:38 PM,11:49 PM
,12:00 AM,12:07 AM,12:12 AM,12:21 AM,12:31 AM
,12:45 AM,12:52 AM,12:57 AM,01:06 AM,01:16 AM
