Trip Notes,Westbank Exchange,Boucherie Mtn Transit Exchange,Queensway Transit Exchange,Cooper Station,McCurdy Station,UBCO Transit Exchange
,--,--,--,05:44 AM,05:49 AM,05:56 AM
,--,--,--,06:10 AM,06:15 AM,06:23 AM
,06:10 AM,06:17 AM,06:31 AM,06:41 AM,06:47 AM,06:56 AM
,06:30 AM,06:37 AM,06:51 AM,07:01 AM,07:07 AM,07:16 AM
,06:50 AM,06:57 AM,07:12 AM,07:22 AM,07:28 AM,07:37 AM
,--,--,07:24 AM,07:35 AM,07:42 AM,07:51 AM
,07:10 AM,07:18 AM,07:37 AM,07:48 AM,07:55 AM,08:04 AM
,07:29 AM,07:37 AM,08:00 AM,08:11 AM,08:18 AM,08:27 AM
,07:48 AM,07:56 AM,08:19 AM,08:31 AM,08:38 AM,08:47 AM
,08:07 AM,08:15 AM,08:38 AM,08:50 AM,08:57 AM,09:06 AM
,08:26 AM,08:34 AM,08:57 AM,09:09 AM,09:16 AM,09:25 AM
,08:45 AM,08:53 AM,09:16 AM,09:28 AM,09:35 AM,09:44 AM
,09:04 AM,09:12 AM,09:35 AM,09:47 AM,09:54 AM,10:03 AM
,09:23 AM,09:31 AM,09:54 AM,10:07 AM,10:14 AM,10:23 AM
,09:42 AM,09:50 AM,10:13 AM,10:26 AM,10:33 AM,10:42 AM
,10:02 AM,10:11 AM,10:34 AM,10:47 AM,10:54 AM,11:03 AM
,10:22 AM,10:31 AM,10:54 AM,11:09 AM,11:17 AM,11:26 AM
,10:42 AM,10:51 AM,11:14 AM,11:30 AM,11:38 AM,11:47 AM
,11:02 AM,11:11 AM,11:34 AM,11:50 AM,11:58 AM,12:07 PM
,11:22 AM,11:31 AM,11:54 AM,12:10 PM,12:18 PM,12:27 PM
,11:42 AM,11:51 AM,12:14 PM,12:30 PM,12:38 PM,12:47 PM
,12:03 PM,12:12 PM,12:35 PM,12:52 PM,01:00 PM,01:09 PM
,12:24 PM,12:33 PM,12:56 PM,01:13 PM,01:22 PM,01:31 PM
,12:45 PM,12:54 PM,01:17 PM,01:34 PM,01:43 PM,01:52 PM
,01:06 PM,01:15 PM,01:38 PM,01:55 PM,02:04 PM,02:13 PM
,01:27 PM,01:36 PM,01:59 PM,02:16 PM,02:25 PM,02:34 PM
,01:49 PM,01:58 PM,02:21 PM,02:38 PM,02:47 PM,02:56 PM
,02:11 PM,02:20 PM,02:43 PM,03:00 PM,03:09 PM,03:18 PM
,02:32 PM,02:42 PM,03:05 PM,03:22 PM,03:31 PM,03:40 PM
,02:53 PM,03:03 PM,03:26 PM,03:43 PM,03:52 PM,04:01 PM
,03:14 PM,03:24 PM,03:47 PM,04:04 PM,04:13 PM,04:22 PM
,03:36 PM,03:46 PM,04:09 PM,04:26 PM,04:35 PM,04:44 PM
,03:57 PM,04:07 PM,04:30 PM,04:47 PM,04:56 PM,05:05 PM
,04:19 PM,04:29 PM,04:51 PM,05:07 PM,05:16 PM,05:25 PM
S,04:25 PM,04:35 PM,--,--,--,--
,04:40 PM,04:50 PM,05:11 PM,05:25 PM,05:34 PM,05:42 PM
,05:02 PM,05:11 PM,05:30 PM,05:42 PM,05:50 PM,05:58 PM
,05:23 PM,05:31 PM,05:50 PM,06:02 PM,06:10 PM,06:18 PM
,05:45 PM,05:53 PM,06:11 PM,06:23 PM,06:30 PM,06:38 PM
,06:07 PM,06:14 PM,06:31 PM,06:42 PM,06:49 PM,06:57 PM
,06:29 PM,06:36 PM,06:52 PM,07:03 PM,07:09 PM,07:16 PM
,06:42 PM,06:49 PM,--,--,--,--
,06:55 PM,07:02 PM,07:16 PM,07:27 PM,07:33 PM,07:40 PM
,07:15 PM,07:22 PM,07:36 PM,07:47 PM,07:53 PM,08:00 PM
,07:40 PM,07:47 PM,08:01 PM,08:12 PM,08:18 PM,08:25 PM
,08:05 PM,08:12 PM,08:26 PM,08:37 PM,08:43 PM,08:50 PM
,08:30 PM,08:37 PM,08:51 PM,09:02 PM,09:08 PM,09:15 PM
,08:55 PM,09:02 PM,09:16 PM,09:26 PM,09:32 PM,09:39 PM
,09:25 PM,09:32 PM,09:46 PM,09:56 PM,10:02 PM,10:09 PM
,09:51 PM,09:58 PM,10:10 PM,10:20 PM,10:26 PM,10:33 PM
,--,--,10:37 PM,10:46 PM,10:51 PM,10:58 PM
,10:40 PM,10:46 PM,10:58 PM,11:07 PM,11:12 PM,11:19 PM
,--,--,11:26 PM,11:34 PM,11:39 PM,11:46 PM
,11:30 PM,11:36 PM,11:48 PM,11:56 PM,12:01 AM,12:08 AM
,--,--,12:15 AM,12:23 AM,12:28 AM,12:35 AM
,12:20 AM,12:26 AM,12:38 AM,12:46 AM,12:51 AM,12:58 AM
,01:09 AM,01:15 AM,--,--,--,--
